Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2008","2008","6199","Value","3023","Labour force survey","1000 No","7829.54","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2009","2009","6199","Value","3023","Labour force survey","1000 No","8261.65","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2010","2010","6199","Value","3023","Labour force survey","1000 No","8874.3","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2011","2011","6199","Value","3023","Labour force survey","1000 No","9476.51","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2013","2013","6199","Value","3023","Labour force survey","1000 No","9808.54","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2014","2014","6199","Value","3023","Labour force survey","1000 No","10416.76","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2015","2015","6199","Value","3023","Labour force survey","1000 No","10630.77","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2016","2016","6199","Value","3023","Labour force survey","1000 No","10956.64","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area | Break in series: Other or unspecified type of break Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2018","2018","6199","Value","3023","Labour force survey","1000 No","10332.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2019","2019","6199","Value","3023","Labour force survey","1000 No","11095.58","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21087","Employment by age, total (15+), rural areas","3","Female","2021","2021","6199","Value","3023","Labour force survey","1000 No","11579.63","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2006","2006","6199","Value","3023","Labour force survey","1000 No","9104.34","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2007","2007","6199","Value","3023","Labour force survey","1000 No","9039.83","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2008","2008","6199","Value","3023","Labour force survey","1000 No","9418.3","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2009","2009","6199","Value","3023","Labour force survey","1000 No","9622.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2010","2010","6199","Value","3023","Labour force survey","1000 No","9907.59","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2011","2011","6199","Value","3023","Labour force survey","1000 No","10041.59","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2013","2013","6199","Value","3023","Labour force survey","1000 No","10379.72","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2014","2014","6199","Value","3023","Labour force survey","1000 No","10248.03","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2015","2015","6199","Value","3023","Labour force survey","1000 No","10188.27","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2016","2016","6199","Value","3023","Labour force survey","1000 No","10925.02","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area | Break in series: Other or unspecified type of break Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2018","2018","6199","Value","3023","Labour force survey","1000 No","10134.35","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 No","10047.34","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","1","Total","2021","2021","6199","Value","3023","Labour force survey","1000 No","10894.42","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2006","2006","6199","Value","3023","Labour force survey","1000 No","7070.65","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2007","2007","6199","Value","3023","Labour force survey","1000 No","6876.23","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2008","2008","6199","Value","3023","Labour force survey","1000 No","7127.41","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2009","2009","6199","Value","3023","Labour force survey","1000 No","7224.47","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2010","2010","6199","Value","3023","Labour force survey","1000 No","7368.5","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2011","2011","6199","Value","3023","Labour force survey","1000 No","7305.95","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2013","2013","6199","Value","3023","Labour force survey","1000 No","7572.01","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2014","2014","6199","Value","3023","Labour force survey","1000 No","7244.22","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2015","2015","6199","Value","3023","Labour force survey","1000 No","7232.81","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2016","2016","6199","Value","3023","Labour force survey","1000 No","7756.46","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area | Break in series: Other or unspecified type of break Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2018","2018","6199","Value","3023","Labour force survey","1000 No","7445.11","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2019","2019","6199","Value","3023","Labour force survey","1000 No","7112.35","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","2","Male","2021","2021","6199","Value","3023","Labour force survey","1000 No","7811.2","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2006","2006","6199","Value","3023","Labour force survey","1000 No","2033.7","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2007","2007","6199","Value","3023","Labour force survey","1000 No","2163.61","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2008","2008","6199","Value","3023","Labour force survey","1000 No","2290.89","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2009","2009","6199","Value","3023","Labour force survey","1000 No","2397.93","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2010","2010","6199","Value","3023","Labour force survey","1000 No","2539.1","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2011","2011","6199","Value","3023","Labour force survey","1000 No","2735.65","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2013","2013","6199","Value","3023","Labour force survey","1000 No","2807.7","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2014","2014","6199","Value","3023","Labour force survey","1000 No","3003.82","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2015","2015","6199","Value","3023","Labour force survey","1000 No","2955.46","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2016","2016","6199","Value","3023","Labour force survey","1000 No","3168.32","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area | Break in series: Other or unspecified type of break Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2018","2018","6199","Value","3023","Labour force survey","1000 No","2689.24","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2019","2019","6199","Value","3023","Labour force survey","1000 No","2934.99","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21094","Employment by age, 15 to 24, rural areas","3","Female","2021","2021","6199","Value","3023","Labour force survey","1000 No","3083.22","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2006","2006","6199","Value","3023","Labour force survey","1000 No","17327.56","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2007","2007","6199","Value","3023","Labour force survey","1000 No","18247.07","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2008","2008","6199","Value","3023","Labour force survey","1000 No","18876.83","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2009","2009","6199","Value","3023","Labour force survey","1000 No","19542.27","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2010","2010","6199","Value","3023","Labour force survey","1000 No","20194.38","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2011","2011","6199","Value","3023","Labour force survey","1000 No","21540.59","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2013","2013","6199","Value","3023","Labour force survey","1000 No","22426.54","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2014","2014","6199","Value","3023","Labour force survey","1000 No","22696.45","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2015","2015","6199","Value","3023","Labour force survey","1000 No","23558.44","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2016","2016","6199","Value","3023","Labour force survey","1000 No","23662.74","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area | Break in series: Other or unspecified type of break Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2018","2018","6199","Value","3023","Labour force survey","1000 No","24355.49","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 No","24805.03","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","1","Total","2021","2021","6199","Value","3023","Labour force survey","1000 No","26342.19","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2006","2006","6199","Value","3023","Labour force survey","1000 No","13202.3","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2007","2007","6199","Value","3023","Labour force survey","1000 No","13794.44","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2008","2008","6199","Value","3023","Labour force survey","1000 No","14020.24","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2009","2009","6199","Value","3023","Labour force survey","1000 No","14444.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2010","2010","6199","Value","3023","Labour force survey","1000 No","14615.97","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2011","2011","6199","Value","3023","Labour force survey","1000 No","15606.02","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2013","2013","6199","Value","3023","Labour force survey","1000 No","16225.46","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2014","2014","6199","Value","3023","Labour force survey","1000 No","16137.55","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2015","2015","6199","Value","3023","Labour force survey","1000 No","16722.53","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2016","2016","6199","Value","3023","Labour force survey","1000 No","16773.74","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area | Break in series: Other or unspecified type of break Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2018","2018","6199","Value","3023","Labour force survey","1000 No","17637.59","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2019","2019","6199","Value","3023","Labour force survey","1000 No","17479.61","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","2","Male","2021","2021","6199","Value","3023","Labour force survey","1000 No","18619.15","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","3","Female","2006","2006","6199","Value","3023","Labour force survey","1000 No","4125.25","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","3","Female","2007","2007","6199","Value","3023","Labour force survey","1000 No","4452.63","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","3","Female","2008","2008","6199","Value","3023","Labour force survey","1000 No","4856.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","3","Female","2009","2009","6199","Value","3023","Labour force survey","1000 No","5097.87","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","586","Pakistan","21095","Employment by age, 25 to 54, rural areas","3","Female","2010","2010","6199","Value","3023","Labour force survey","1000 No","5578.42","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
